#time-us	inter1	inter2	sxr-Al	sxr-Zr	
-2.000369E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.999369E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.998369E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.997369E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.996369E+1	3.875712E-3	-2.024845E-2	-1.874829E-2	-9.998720E-3
-1.995369E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-9.998720E-3
-1.994369E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-9.998720E-3
-1.993369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.992369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.991369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.990369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.989369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.988369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.987369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.986369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.985369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.984369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.983369E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.982369E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.981369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.980369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.979369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.978369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.977369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.976369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.975369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.974369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.973369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.972369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.971369E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.970369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.969369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.968369E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-3.748736E-3
-1.967369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.966369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.965369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.964369E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.963369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.962369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.961369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.960369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.959369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.958369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.957369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.956369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.955369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.954369E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.953369E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.952369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.951369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.950369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.949369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.948369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.947369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.946369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.945369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.944369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.943369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.942369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.941369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.940369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.939369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.938369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.937369E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-3.748736E-3
-1.936369E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-3.748736E-3
-1.935369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.934369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.933369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.932369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.931369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.930369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.929369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.928369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.927369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.926369E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-3.748736E-3
-1.925369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.924369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.923369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.922369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.921369E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
